electricity_usage_kwh,vehicle_type,vehicle_km,flights_short_haul,flights_long_haul,diet_type,waste_kg_weekly,household_size,grocery_spend_monthly,heating_source,internet_usage_hours,total_footprint_tco2e
205.4,none,0.0,1,0,non-vegetarian,19.0,4,115.07,oil,1.2,3.5
140.4,petrol,1047.5,0,0,vegetarian,11.6,3,199.81,natural gas,7.5,5.57
242.9,hybrid,548.3,5,0,non-vegetarian,17.2,2,263.66,electricity,7.0,6.44
456.4,petrol,1965.6,0,1,vegetarian,10.4,4,317.48,natural gas,9.4,8.9
185.7,petrol,289.2,1,0,non-vegetarian,14.1,2,510.02,natural gas,7.7,7.52
381.1,diesel,366.7,2,2,non-vegetarian,14.7,5,211.59,electricity,6.5,6.27
384.2,petrol,893.4,2,1,non-vegetarian,16.7,3,535.5,electricity,7.3,8.69
205.7,electric,1646.7,3,0,non-vegetarian,10.8,4,385.67,natural gas,8.7,5.63
295.5,petrol,465.5,0,2,non-vegetarian,18.3,1,73.46,natural gas,8.5,8.88
380.3,petrol,693.7,1,0,pescatarian,8.4,3,363.46,natural gas,4.7,6.08
219.7,diesel,1230.9,3,0,vegetarian,23.5,5,532.52,natural gas,1.8,6.85
233.7,electric,792.9,0,0,non-vegetarian,11.2,5,285.71,electricity,8.1,4.21
203.5,none,0.0,2,1,vegetarian,5.2,1,204.65,oil,6.0,7.83
168.8,electric,1026.3,1,0,vegetarian,14.6,3,229.97,electricity,5.4,3.98
198.1,diesel,909.0,0,0,non-vegetarian,12.9,4,388.86,electricity,9.2,6.53
152.1,petrol,1212.2,2,1,non-vegetarian,10.4,1,108.13,natural gas,5.3,9.97
252.7,petrol,1316.6,5,2,vegan,21.7,4,579.85,natural gas,7.3,9.06
188.4,petrol,922.8,1,1,non-vegetarian,18.8,2,482.24,electricity,10.1,9.8
268.7,diesel,916.7,3,0,non-vegetarian,17.3,4,420.46,none,7.4,7.23
125.5,diesel,885.6,2,0,pescatarian,10.2,2,143.07,natural gas,3.8,6.04
276.5,petrol,995.7,2,0,non-vegetarian,12.4,4,537.5,natural gas,5.0,7.44
316.7,electric,822.1,2,0,vegetarian,11.9,2,508.45,electricity,6.2,6.74
90.5,diesel,799.8,3,0,pescatarian,5.9,3,536.8,oil,7.9,7.29
279.9,petrol,1278.7,0,0,vegetarian,16.4,5,368.48,electricity,7.5,6.13
348.2,petrol,1406.4,0,1,vegetarian,16.7,3,325.07,natural gas,4.1,8.08
153.2,hybrid,197.0,1,0,non-vegetarian,15.6,1,363.79,natural gas,7.6,9.54
383.8,electric,804.0,3,0,pescatarian,16.1,3,395.77,oil,16.0,5.93
283.5,hybrid,524.5,0,1,non-vegetarian,9.3,3,516.85,electricity,6.9,6.76
193.6,petrol,675.6,1,0,non-vegetarian,10.5,5,120.27,natural gas,4.4,5.05
245.5,none,0.0,0,0,non-vegetarian,13.4,3,359.22,electricity,9.8,4.91
294.7,petrol,1067.8,4,0,non-vegetarian,21.9,1,401.25,electricity,3.9,12.79
256.1,petrol,755.1,1,0,non-vegetarian,20.8,3,481.42,electricity,10.2,6.9
293.1,none,0.0,1,1,vegetarian,17.6,3,280.0,oil,5.5,4.68
176.3,petrol,414.0,0,1,non-vegetarian,25.1,3,338.06,natural gas,7.8,6.54
263.5,diesel,1158.6,3,0,non-vegetarian,17.5,3,307.76,none,4.2,8.0
136.9,petrol,0.0,3,1,non-vegetarian,18.2,5,370.41,none,7.4,4.61
241.1,diesel,1275.0,2,2,non-vegetarian,22.4,5,240.67,natural gas,7.1,8.87
177.7,none,0.0,1,0,non-vegetarian,18.5,1,423.25,natural gas,9.1,9.9
191.2,petrol,1326.5,3,0,vegetarian,23.2,1,384.81,natural gas,5.0,12.26
348.9,diesel,720.6,2,0,non-vegetarian,15.1,1,108.24,natural gas,9.9,9.22
337.3,petrol,0.0,3,1,vegetarian,11.8,3,150.13,electricity,7.3,4.1
298.7,diesel,972.1,2,1,non-vegetarian,14.5,4,298.27,electricity,0.5,7.58
162.6,petrol,1309.9,0,1,non-vegetarian,16.2,3,788.66,electricity,6.9,10.28
224.7,petrol,1169.9,2,0,non-vegetarian,10.5,4,283.32,none,0.5,6.62
347.0,petrol,534.9,2,0,vegetarian,11.4,1,172.07,none,2.0,6.74
261.3,petrol,834.7,2,1,non-vegetarian,12.9,3,218.63,natural gas,5.1,7.22
435.5,none,0.0,3,0,non-vegetarian,9.5,1,400.77,natural gas,0.7,10.84
281.5,petrol,472.3,1,0,non-vegetarian,12.1,5,564.63,electricity,3.6,5.56
265.4,petrol,1182.2,1,1,vegetarian,18.7,1,227.75,natural gas,5.7,10.61
225.3,petrol,321.0,1,0,non-vegetarian,19.0,3,353.35,electricity,5.7,5.21
260.7,petrol,442.5,2,1,non-vegetarian,8.0,5,242.94,none,3.2,5.39
237.8,electric,358.4,2,0,non-vegetarian,16.5,5,418.87,natural gas,6.4,4.72
306.6,none,0.0,1,0,non-vegetarian,14.7,4,243.03,electricity,10.1,4.42
326.5,petrol,858.6,0,0,non-vegetarian,20.3,2,439.93,oil,5.7,9.04
187.1,hybrid,1264.6,2,0,vegetarian,13.7,5,50.0,natural gas,4.4,4.22
143.5,diesel,726.0,0,1,non-vegetarian,8.8,2,417.15,natural gas,7.1,8.96
103.1,petrol,197.7,0,0,non-vegetarian,12.6,1,282.41,natural gas,2.9,8.03
290.6,diesel,1136.0,2,0,vegetarian,9.0,1,397.18,natural gas,9.2,12.22
161.7,diesel,1474.3,0,1,vegetarian,3.7,5,302.5,natural gas,9.6,7.54
77.8,diesel,541.5,0,0,non-vegetarian,14.7,4,124.88,electricity,11.8,4.64
281.1,hybrid,608.6,1,0,vegetarian,17.6,1,332.04,natural gas,7.5,9.26
449.4,petrol,1006.3,1,0,non-vegetarian,15.9,2,422.55,natural gas,2.8,8.9
249.5,none,0.0,3,0,pescatarian,8.6,5,339.95,natural gas,9.0,3.69
317.1,electric,592.1,0,2,vegan,8.2,5,84.01,natural gas,1.2,3.82
256.5,diesel,267.0,3,0,non-vegetarian,16.1,4,333.48,natural gas,9.6,5.42
242.1,diesel,1052.6,1,0,non-vegetarian,23.5,5,377.67,electricity,6.4,6.5
323.5,petrol,1119.6,2,1,vegan,21.5,3,239.06,none,4.5,6.24
226.8,none,0.0,0,2,vegetarian,13.5,2,50.0,natural gas,4.8,4.54
271.4,diesel,576.7,1,1,non-vegetarian,16.1,3,227.12,natural gas,5.5,6.91
275.7,petrol,1197.8,1,0,non-vegetarian,19.6,3,110.68,natural gas,9.4,6.94
196.6,petrol,1011.2,1,0,non-vegetarian,14.3,2,285.18,natural gas,0.5,7.91
329.4,diesel,492.6,6,0,vegetarian,8.3,5,112.29,natural gas,7.2,4.7
236.0,petrol,819.6,2,0,non-vegetarian,2.0,5,106.36,natural gas,8.4,5.55
189.5,petrol,259.3,1,0,non-vegetarian,15.9,3,416.09,natural gas,2.7,5.56
292.9,diesel,1074.4,2,0,non-vegetarian,14.0,2,324.46,electricity,11.2,8.88
178.1,petrol,695.1,4,0,vegetarian,6.5,1,373.92,electricity,9.6,10.38
252.3,petrol,625.7,1,0,vegetarian,7.9,2,214.41,oil,3.9,6.0
249.3,petrol,786.9,1,2,non-vegetarian,13.7,3,228.01,natural gas,6.7,7.95
336.9,petrol,816.1,2,0,vegetarian,12.3,2,204.26,none,3.1,5.7
288.0,diesel,1158.0,1,2,vegetarian,22.2,2,223.96,electricity,4.8,8.91
248.0,diesel,1036.4,1,1,non-vegetarian,22.1,1,230.89,electricity,1.3,10.68
315.4,petrol,737.4,1,3,non-vegetarian,10.8,4,150.86,electricity,6.2,7.87
361.2,petrol,1105.5,0,0,non-vegetarian,22.5,4,193.31,electricity,2.2,6.29
294.6,diesel,960.3,1,0,non-vegetarian,23.1,1,329.23,electricity,3.0,11.01
250.8,petrol,629.4,1,0,non-vegetarian,16.5,2,149.96,natural gas,7.3,6.52
145.1,petrol,750.1,0,0,non-vegetarian,10.3,3,349.05,natural gas,6.9,6.41
164.8,petrol,740.7,3,0,non-vegetarian,15.6,1,64.52,electricity,3.3,7.06
225.6,hybrid,1002.1,2,1,non-vegetarian,4.4,4,345.54,natural gas,1.6,6.41
201.2,electric,653.2,4,1,non-vegetarian,12.1,4,288.65,natural gas,7.7,5.97
235.0,electric,643.8,0,0,pescatarian,16.3,1,348.33,natural gas,8.1,8.84
254.5,electric,1587.5,0,1,non-vegetarian,16.9,2,348.46,oil,9.1,7.81
292.4,diesel,1175.9,2,0,vegan,12.8,5,146.59,oil,9.1,5.64
244.4,diesel,495.8,1,1,non-vegetarian,15.4,3,308.44,natural gas,7.1,6.74
288.9,diesel,1028.4,2,2,non-vegetarian,9.9,5,130.55,natural gas,5.5,7.99
255.2,petrol,847.3,0,4,non-vegetarian,22.0,3,238.33,none,4.3,8.99
92.0,diesel,956.6,2,0,non-vegetarian,22.2,5,440.81,natural gas,7.8,6.83
174.9,electric,854.9,0,0,non-vegetarian,18.6,5,152.5,natural gas,3.2,3.79
238.5,diesel,1275.9,2,2,vegan,13.7,3,291.52,natural gas,7.3,8.54
153.2,petrol,938.2,2,0,non-vegetarian,10.9,3,178.5,electricity,1.0,6.32
298.0,petrol,775.2,1,1,non-vegetarian,19.2,4,345.84,natural gas,7.9,7.39
372.5,diesel,1216.9,0,0,pescatarian,15.9,2,438.44,natural gas,6.7,9.15
347.5,diesel,893.3,0,0,vegetarian,10.0,2,229.79,natural gas,3.4,6.9
232.9,hybrid,848.6,2,1,non-vegetarian,20.3,4,332.4,electricity,5.8,6.19
369.3,petrol,925.6,2,0,non-vegetarian,12.8,5,266.65,natural gas,5.7,6.4
261.9,electric,762.6,4,1,vegetarian,10.7,3,153.7,none,11.1,4.62
223.0,diesel,803.7,1,0,vegetarian,19.7,1,353.22,natural gas,5.2,10.56
200.9,hybrid,565.3,2,0,non-vegetarian,11.1,5,372.87,electricity,6.9,4.73
225.8,diesel,499.5,2,0,pescatarian,15.6,2,151.98,natural gas,7.5,5.7
218.9,diesel,400.6,0,1,non-vegetarian,21.4,3,429.55,natural gas,5.2,6.73
263.6,diesel,243.2,2,0,non-vegetarian,20.9,4,490.64,electricity,10.6,5.59
262.8,electric,448.1,0,2,vegetarian,16.7,5,166.29,natural gas,6.4,4.17
250.2,none,0.0,1,0,non-vegetarian,9.1,1,506.77,electricity,0.5,10.4
285.0,petrol,841.2,0,0,non-vegetarian,12.5,5,300.6,natural gas,6.1,5.78
345.3,petrol,691.5,3,0,non-vegetarian,27.1,4,289.64,electricity,12.6,6.46
326.0,none,0.0,2,0,non-vegetarian,19.7,1,549.47,natural gas,4.5,12.16
131.2,diesel,1429.8,4,0,non-vegetarian,13.8,5,425.65,none,7.3,8.25
50.0,diesel,1234.6,2,0,non-vegetarian,8.7,4,206.49,electricity,4.0,7.0
324.7,diesel,978.3,1,0,non-vegetarian,5.5,5,223.81,electricity,5.5,6.48
140.6,petrol,1563.0,0,1,non-vegetarian,21.1,3,348.87,electricity,9.5,8.96
232.0,electric,409.1,0,0,vegetarian,21.2,5,347.29,electricity,8.3,3.2
156.4,electric,1555.1,1,2,non-vegetarian,14.8,4,294.23,natural gas,7.0,6.6
105.8,petrol,413.9,1,0,non-vegetarian,12.9,2,194.47,none,6.4,5.57
293.3,petrol,895.5,1,0,vegan,20.7,4,217.97,electricity,5.6,4.74
310.7,hybrid,290.5,4,0,non-vegetarian,7.6,5,296.42,oil,6.8,4.89
203.9,petrol,805.9,0,0,non-vegetarian,25.0,3,62.16,electricity,9.4,5.15
50.0,hybrid,954.5,2,0,vegetarian,18.7,2,374.64,natural gas,6.0,6.36
206.3,petrol,738.1,2,1,vegan,8.7,4,338.66,natural gas,6.9,5.52
281.3,diesel,1085.6,0,1,pescatarian,18.9,2,159.61,natural gas,2.6,7.76
131.7,none,0.0,1,1,non-vegetarian,11.6,3,372.73,natural gas,3.5,5.44
264.7,diesel,591.0,1,1,non-vegetarian,8.3,1,50.0,electricity,10.2,7.96
248.8,petrol,573.3,0,1,non-vegetarian,18.9,2,355.33,electricity,8.5,7.87
296.3,diesel,1124.4,1,1,non-vegetarian,9.5,4,434.69,natural gas,7.5,8.38
259.6,petrol,538.5,2,2,non-vegetarian,8.3,3,359.15,natural gas,9.3,7.9
172.2,petrol,1166.2,1,0,non-vegetarian,17.4,4,390.4,electricity,7.0,6.92
345.7,none,0.0,2,1,non-vegetarian,14.5,3,399.92,natural gas,6.9,6.23
237.3,electric,132.5,3,0,non-vegetarian,20.1,4,359.33,none,4.9,4.58
247.8,diesel,1253.2,0,0,pescatarian,13.5,3,292.02,natural gas,6.8,7.22
175.3,petrol,1624.2,3,0,vegetarian,13.0,5,252.1,none,2.8,6.63
214.5,petrol,900.8,0,1,vegetarian,4.8,4,471.88,none,3.3,6.18
179.2,petrol,1039.6,2,0,pescatarian,17.5,3,391.05,none,3.6,6.45
236.2,diesel,1214.8,0,2,non-vegetarian,14.9,1,477.8,natural gas,10.9,15.56
386.9,electric,689.8,2,1,non-vegetarian,20.9,3,448.68,natural gas,6.0,7.05
140.2,diesel,872.9,2,2,non-vegetarian,18.8,1,124.3,natural gas,7.1,10.12
120.9,hybrid,274.3,4,0,vegetarian,16.7,2,200.1,oil,4.2,4.9
367.7,petrol,855.5,3,2,non-vegetarian,11.3,3,50.0,oil,5.5,7.99
233.3,petrol,999.2,2,0,non-vegetarian,12.9,2,66.41,natural gas,4.5,6.8
196.5,petrol,1006.5,0,1,non-vegetarian,17.7,2,50.0,natural gas,2.3,7.06
333.2,petrol,1226.2,2,0,vegan,14.7,5,50.0,natural gas,3.6,5.19
201.6,petrol,490.1,3,1,non-vegetarian,22.1,3,264.31,natural gas,1.2,6.61
396.1,none,0.0,1,0,vegetarian,21.6,5,476.22,natural gas,6.6,3.56
304.2,petrol,1558.2,1,2,non-vegetarian,13.7,5,353.26,oil,8.9,9.73
211.0,none,0.0,2,1,non-vegetarian,15.5,2,404.34,natural gas,4.9,6.89
422.6,petrol,880.0,1,1,non-vegetarian,11.0,4,308.1,electricity,7.5,7.45
201.5,none,0.0,2,1,non-vegetarian,14.5,2,321.6,natural gas,5.2,6.58
309.4,diesel,471.3,0,1,vegetarian,19.7,2,416.54,natural gas,8.6,7.6
273.9,none,0.0,0,0,pescatarian,12.3,1,275.51,electricity,5.6,7.24
354.1,petrol,588.9,1,0,non-vegetarian,13.2,4,318.84,oil,10.4,5.98
374.9,electric,349.1,0,0,non-vegetarian,9.2,2,238.95,electricity,4.8,5.39
252.6,none,0.0,1,2,vegetarian,12.2,4,117.28,natural gas,11.0,4.39
189.7,petrol,0.0,0,0,non-vegetarian,18.1,1,280.74,natural gas,1.9,7.85
286.8,petrol,539.5,1,0,vegetarian,13.8,4,123.65,electricity,6.4,4.05
195.8,petrol,412.7,2,0,pescatarian,9.2,3,432.05,natural gas,4.3,5.62
411.1,none,0.0,3,2,vegetarian,16.1,1,373.32,natural gas,7.4,11.19
260.9,diesel,530.6,1,0,non-vegetarian,14.7,4,523.46,natural gas,2.3,6.5
220.8,diesel,1155.1,3,0,non-vegetarian,20.6,5,182.45,natural gas,3.1,6.75
264.8,petrol,1359.4,0,0,non-vegetarian,14.3,4,94.07,natural gas,4.0,6.46
142.2,petrol,1112.5,3,1,vegetarian,10.0,1,71.04,natural gas,3.6,8.08
172.3,hybrid,713.8,2,1,vegan,19.8,5,536.23,natural gas,5.1,5.07
346.0,petrol,856.4,0,0,non-vegetarian,10.2,4,240.49,natural gas,0.8,5.73
197.4,diesel,190.0,1,0,vegetarian,8.5,4,75.06,natural gas,7.3,2.92
166.2,none,0.0,2,0,vegetarian,9.8,1,370.55,natural gas,8.0,8.15
292.9,petrol,455.8,3,2,non-vegetarian,11.9,5,249.89,natural gas,0.5,6.57
344.9,diesel,1077.7,2,0,non-vegetarian,5.5,5,158.11,oil,8.8,6.69
307.5,petrol,1829.1,1,1,non-vegetarian,6.4,4,523.04,natural gas,2.9,9.93
329.7,diesel,999.9,1,0,vegetarian,18.9,3,278.79,electricity,4.5,6.24
189.5,petrol,3.5,1,0,non-vegetarian,14.1,1,385.06,oil,5.9,9.83
136.3,electric,655.5,1,0,non-vegetarian,14.2,1,364.96,oil,4.8,10.08
370.1,petrol,849.0,4,1,non-vegetarian,14.7,2,707.47,oil,2.9,11.99
224.2,diesel,834.9,1,0,vegetarian,17.8,5,269.8,natural gas,4.0,5.21
229.9,diesel,507.7,0,0,non-vegetarian,10.9,5,150.17,electricity,5.6,4.65
356.3,petrol,898.1,6,0,non-vegetarian,17.8,2,198.1,natural gas,4.9,8.27
294.5,electric,303.0,1,0,vegetarian,15.6,4,448.47,oil,4.3,3.93
286.5,petrol,422.0,0,0,non-vegetarian,10.2,4,337.59,natural gas,4.7,5.11
423.2,diesel,1058.3,2,1,non-vegetarian,18.0,1,229.44,electricity,7.6,12.29
198.5,petrol,393.7,1,1,non-vegetarian,15.3,4,351.45,natural gas,5.9,5.89
324.2,diesel,1015.3,5,0,vegetarian,9.8,3,499.27,natural gas,1.3,7.81
254.6,petrol,252.2,2,0,pescatarian,10.1,3,548.89,natural gas,6.2,5.99
271.5,petrol,1505.9,1,1,non-vegetarian,17.4,3,355.36,electricity,8.9,9.29
372.3,petrol,490.3,3,0,non-vegetarian,20.1,2,470.28,none,6.6,7.92
290.6,electric,710.5,0,1,non-vegetarian,16.4,3,86.65,natural gas,10.3,5.24
293.1,petrol,932.2,1,1,non-vegetarian,19.4,2,393.32,none,1.0,8.8
335.8,hybrid,573.9,2,1,non-vegetarian,21.2,1,272.92,oil,4.7,11.26
220.8,hybrid,857.4,1,0,non-vegetarian,13.9,1,127.69,electricity,11.7,7.3
182.9,petrol,1030.1,4,0,vegetarian,15.8,3,160.19,natural gas,7.5,5.9
166.4,diesel,1184.2,2,0,non-vegetarian,18.3,2,177.56,oil,1.9,8.6
92.7,petrol,1116.6,1,2,non-vegetarian,9.3,3,343.99,electricity,7.5,8.74
414.5,petrol,731.3,2,0,vegan,20.2,4,133.92,natural gas,5.3,4.55
161.7,electric,741.3,2,0,vegetarian,21.8,2,406.28,oil,8.5,6.2
232.3,diesel,1739.6,1,1,vegan,11.3,2,444.59,electricity,5.3,10.81
227.9,diesel,1180.0,1,0,non-vegetarian,29.3,2,282.12,natural gas,8.8,8.75
274.6,petrol,431.3,3,1,non-vegetarian,19.0,2,269.02,natural gas,5.5,7.71
315.3,petrol,840.0,2,0,non-vegetarian,14.2,4,323.45,electricity,6.9,6.4
318.8,petrol,665.9,0,0,non-vegetarian,4.6,3,225.97,natural gas,10.1,6.43
203.4,electric,745.9,2,1,non-vegetarian,14.5,1,519.17,natural gas,6.6,12.4
236.6,diesel,308.2,3,1,non-vegetarian,17.1,5,50.0,natural gas,2.5,4.96
272.6,electric,635.2,1,0,non-vegetarian,16.5,5,241.95,electricity,3.1,4.26
230.1,petrol,1524.6,2,1,pescatarian,8.4,2,65.27,none,9.7,8.02
378.6,petrol,1031.6,1,0,non-vegetarian,11.7,2,386.42,natural gas,0.5,8.98
289.3,petrol,0.0,1,0,non-vegetarian,18.4,1,332.04,oil,3.8,9.55
308.8,petrol,1286.7,1,0,vegetarian,18.0,5,413.03,electricity,14.7,6.33
303.0,petrol,1235.9,3,1,vegetarian,19.7,2,323.97,oil,4.9,9.15
343.9,hybrid,656.3,1,1,non-vegetarian,15.6,4,358.79,oil,7.0,6.69
264.5,hybrid,1086.9,4,1,vegetarian,14.8,5,169.0,natural gas,3.7,5.3
146.3,diesel,456.2,1,1,non-vegetarian,17.6,4,322.21,electricity,7.3,6.16
282.0,diesel,611.9,4,0,non-vegetarian,15.5,1,182.68,none,8.3,8.38
197.9,petrol,1399.4,2,0,vegetarian,7.3,1,391.83,electricity,4.9,11.38
207.7,hybrid,691.3,1,1,non-vegetarian,22.6,5,157.83,natural gas,6.3,5.2
296.9,petrol,52.1,1,0,non-vegetarian,19.6,3,222.66,natural gas,2.6,4.76
349.1,none,0.0,1,1,pescatarian,17.1,5,287.37,natural gas,4.4,3.99
251.7,diesel,768.6,2,0,non-vegetarian,8.2,4,529.8,none,6.0,6.54
274.7,petrol,1279.3,2,0,non-vegetarian,19.2,3,304.73,electricity,11.9,8.1
386.2,none,0.0,2,0,vegetarian,12.8,4,603.21,natural gas,1.7,4.25
269.3,petrol,631.4,2,1,vegan,19.2,4,507.36,natural gas,7.6,6.03
458.1,diesel,1218.0,2,0,non-vegetarian,17.7,4,254.45,electricity,8.9,7.75
295.2,diesel,848.3,1,2,non-vegetarian,13.3,2,360.54,oil,5.1,10.18
109.1,petrol,500.0,2,0,non-vegetarian,20.3,3,383.2,natural gas,8.0,6.1
310.3,petrol,1262.0,0,0,vegetarian,9.0,2,50.0,none,9.2,6.0
280.5,diesel,877.5,1,2,non-vegetarian,15.3,2,50.0,natural gas,11.9,8.58
353.2,electric,801.2,2,0,pescatarian,23.3,4,367.34,electricity,11.4,4.61
303.9,petrol,871.2,2,0,non-vegetarian,17.4,1,376.8,natural gas,0.5,11.9
238.9,none,0.0,3,0,non-vegetarian,19.6,5,322.76,natural gas,4.5,4.19
152.1,petrol,588.9,0,0,non-vegetarian,15.4,1,132.91,electricity,7.3,7.35
233.3,petrol,801.4,2,0,pescatarian,14.9,4,661.78,natural gas,6.4,6.64
182.0,petrol,722.1,0,1,non-vegetarian,8.9,5,385.05,natural gas,8.4,6.49
203.6,petrol,1309.0,4,0,pescatarian,14.2,5,452.92,natural gas,6.8,7.19
297.1,petrol,887.0,2,1,vegan,18.4,4,439.95,natural gas,6.9,6.28
383.6,none,0.0,1,1,non-vegetarian,9.5,2,322.12,electricity,6.4,6.7
281.6,petrol,803.8,2,0,non-vegetarian,10.2,5,312.73,none,7.2,5.61
154.3,petrol,1222.5,0,0,non-vegetarian,17.1,5,435.51,natural gas,7.8,6.53
285.6,petrol,959.0,0,1,non-vegetarian,19.1,5,221.51,natural gas,7.6,6.5
345.7,electric,805.4,3,0,non-vegetarian,25.1,5,445.95,natural gas,0.5,4.95
201.2,hybrid,794.7,1,0,non-vegetarian,13.6,3,326.39,oil,2.5,6.13
239.3,petrol,418.2,0,1,non-vegetarian,13.8,2,388.76,natural gas,6.3,7.89
251.2,petrol,1002.8,1,4,non-vegetarian,19.2,3,326.74,electricity,7.7,10.38
187.2,petrol,783.9,0,0,non-vegetarian,17.9,3,166.96,natural gas,7.5,5.97
301.9,petrol,599.2,0,0,non-vegetarian,13.7,4,274.78,natural gas,0.7,5.56
240.3,petrol,1242.6,4,0,non-vegetarian,14.9,2,483.17,natural gas,3.5,10.21
283.6,petrol,299.9,1,1,non-vegetarian,11.9,1,396.63,natural gas,6.9,11.42
179.0,petrol,631.0,5,2,vegetarian,9.2,2,465.75,electricity,8.0,9.05
215.0,diesel,1211.1,2,0,vegetarian,14.3,1,441.03,natural gas,6.9,12.92
307.8,petrol,926.2,2,0,non-vegetarian,22.6,5,214.57,natural gas,6.2,6.22
220.2,none,0.0,1,0,non-vegetarian,11.4,1,66.11,natural gas,7.1,5.63
388.2,none,0.0,1,0,non-vegetarian,7.8,1,427.09,natural gas,8.1,10.95
218.0,diesel,871.8,3,0,vegetarian,10.0,1,274.51,electricity,0.5,9.54
268.0,petrol,193.3,0,0,non-vegetarian,17.7,5,403.57,natural gas,4.3,4.56
324.6,petrol,660.3,1,1,vegetarian,17.1,5,510.06,oil,7.4,6.11
136.5,petrol,1446.6,2,0,non-vegetarian,21.4,3,246.87,natural gas,5.2,7.74
109.1,electric,536.3,0,1,vegan,20.3,1,185.66,oil,6.2,6.76
127.9,diesel,672.7,0,0,non-vegetarian,16.5,2,146.81,electricity,4.3,5.93
351.0,hybrid,583.4,0,3,non-vegetarian,18.3,4,296.73,natural gas,4.5,7.61
205.9,none,0.0,1,0,non-vegetarian,11.3,3,88.18,natural gas,6.5,3.84
454.7,petrol,566.8,1,0,non-vegetarian,18.4,1,352.88,natural gas,2.4,11.55
204.9,diesel,994.7,0,1,non-vegetarian,14.5,3,360.0,natural gas,6.6,8.15
264.8,petrol,878.9,1,0,non-vegetarian,19.3,1,359.19,oil,3.9,12.23
373.4,petrol,1109.4,2,2,non-vegetarian,17.1,1,50.0,none,0.5,9.49
410.5,petrol,379.6,2,0,non-vegetarian,12.6,3,478.52,none,8.7,6.33
414.9,petrol,663.9,0,0,non-vegetarian,9.5,1,319.13,natural gas,10.9,11.23
346.7,hybrid,709.7,1,1,non-vegetarian,12.5,1,232.46,natural gas,6.6,10.08
331.9,petrol,982.3,2,0,vegetarian,15.9,4,397.43,electricity,6.7,5.83
297.4,diesel,482.7,3,0,non-vegetarian,10.9,2,395.48,none,4.6,7.09
312.3,diesel,1166.3,1,1,non-vegetarian,14.2,5,128.15,natural gas,10.3,7.78
205.9,diesel,1274.6,5,1,non-vegetarian,20.4,4,292.58,natural gas,10.9,8.98
184.5,petrol,404.5,1,0,non-vegetarian,20.9,5,210.04,oil,6.6,4.85
249.7,hybrid,603.7,1,1,pescatarian,17.4,5,237.14,natural gas,9.9,4.47
236.4,diesel,587.2,1,1,non-vegetarian,21.8,2,378.48,oil,6.3,8.96
213.7,petrol,1853.0,0,0,non-vegetarian,8.7,4,169.41,natural gas,5.9,7.95
305.7,petrol,628.0,2,2,non-vegetarian,21.5,1,383.27,electricity,6.4,12.87
326.4,diesel,1471.1,1,0,non-vegetarian,8.2,2,161.25,natural gas,4.9,8.99
257.1,hybrid,293.3,1,0,vegetarian,15.1,1,481.1,electricity,11.4,9.99
368.2,diesel,404.1,0,1,non-vegetarian,10.9,1,202.2,natural gas,9.3,9.75
158.7,hybrid,525.4,2,1,non-vegetarian,18.7,1,644.25,electricity,3.4,13.59
234.5,diesel,461.7,2,2,vegan,7.2,1,422.06,electricity,7.0,11.62
192.7,petrol,692.8,0,1,non-vegetarian,6.2,4,271.19,natural gas,6.5,6.43
100.7,petrol,516.5,1,0,non-vegetarian,11.7,5,157.36,none,7.8,4.25
243.4,petrol,472.3,3,0,non-vegetarian,11.4,5,378.11,natural gas,5.6,5.42
240.3,diesel,1263.4,1,0,vegetarian,12.1,4,452.14,electricity,3.7,6.86
371.1,electric,1289.5,2,0,non-vegetarian,11.6,5,393.33,none,3.1,4.88
300.5,petrol,1179.7,1,0,vegetarian,18.4,2,213.22,oil,4.8,7.14
168.1,diesel,1009.6,0,0,non-vegetarian,14.6,1,514.02,electricity,7.6,13.28
398.3,petrol,837.1,3,0,non-vegetarian,22.7,1,343.67,oil,7.9,13.31
347.7,petrol,601.2,1,0,non-vegetarian,16.2,1,202.42,natural gas,11.0,9.59
296.6,petrol,418.7,2,0,non-vegetarian,19.4,3,632.38,electricity,0.5,6.91
231.9,petrol,945.2,8,1,non-vegetarian,17.9,2,397.9,none,11.1,10.05
173.2,petrol,330.5,0,1,non-vegetarian,10.5,3,361.18,none,0.5,5.5
220.2,petrol,402.4,3,0,non-vegetarian,12.4,4,227.48,electricity,7.8,5.31
337.1,petrol,1261.2,3,1,non-vegetarian,20.0,3,294.69,natural gas,7.1,8.82
400.8,petrol,1560.3,2,0,non-vegetarian,6.1,5,177.97,natural gas,3.0,7.91
373.5,diesel,957.3,1,1,non-vegetarian,17.4,5,327.77,none,6.7,7.0
210.9,petrol,1242.6,0,0,non-vegetarian,14.1,2,382.22,oil,4.2,9.04
160.4,none,0.0,1,1,non-vegetarian,11.3,3,50.0,natural gas,9.9,4.49
261.3,petrol,264.9,0,0,non-vegetarian,13.7,3,106.61,none,2.4,4.0
108.5,petrol,1044.9,3,0,non-vegetarian,23.1,1,163.41,natural gas,7.5,9.15
275.9,petrol,1027.7,5,0,non-vegetarian,6.4,2,74.28,natural gas,8.6,7.69
238.2,petrol,828.7,1,0,non-vegetarian,8.9,1,176.02,electricity,1.0,8.39
212.7,hybrid,703.0,1,0,pescatarian,5.3,2,521.08,natural gas,2.7,6.93
